"municipio","codigo_departamental","departamento","ejercicio","ACTIVIDADES DEPORTIVAS, RECREATIVAS, CULTURA Y RELIGION","ASUNTOS ECONOMICOS","Atencion a Desastres  y Gestion de Riesgos","DEFENSA","EDUCACION","NA","ORDEN PUBLICO Y SEGURIDAD CIUDADANA","PROTECCION AMBIENTAL","PROTECCION SOCIAL","SALUD","SERVICIOS PUBLICOS GENERALES","TRANSACCIONES DE LA DEUDA PUBLICA","URBANIZACION Y SERVICIOS COMUNITARIOS"
"GUATEMALA","1","GUATEMALA","2016","17561065.6","77635757.12","4628733.91","0","2309932","0","32283068.24","74387962.4","17813196.05","1803710.16","22479898.09","40353208.31","111558669.8"
"GUATEMALA","1","GUATEMALA","2017","16140355.76","80043974.64","4542452.16","0","2986536","0","33268198.42","69419567","20495668.41","1225658.06","22335227.15","46597621.55","111918464"
"GUATEMALA","1","GUATEMALA","2018","19616790","75208483.12","4389814.87","0","4766809.52","0","34274842.24","68400213.02","21927282.21","2031706.45","103154327","46602646.02","13206280.67"
"GUATEMALA","1","GUATEMALA","2019","28800637.67","25296278.59","4239667.1","0","3802523.2","0","34379672.5","63110000","21500000","2034690","119400000","46602646.02","16500000"
"SANTA CATARINA PINULA","1","GUATEMALA","2016","741692.83","9412938.02","0","0","4308360","0","2499200.98","1633469.18","0","326760.29","956951.61","0","6292514.82"
"SANTA CATARINA PINULA","1","GUATEMALA","2017","3616989.16","4752731.89","0","0","3689160","0","3065073.5","3473310.54","0","341538.44","2038585.69","0","6959961.84"
"SANTA CATARINA PINULA","1","GUATEMALA","2018","5173010.84","4470479.38","236432.8","0","501700","0","4258707.74","813240.86","0","380903.75","3845242.29","0","7689052.52"
"SANTA CATARINA PINULA","1","GUATEMALA","2019","0","9313937.38","0","0","653927.48","0","2533380.83","8844000","0","433329.03","4715000","0","6143302.5"
"SAN JOSE PINULA","1","GUATEMALA","2016","318500","3238231.02","0","0","3235253.19","0","545899.99","363069.08","45750","39652.54","2873177.14","0","4416560.36"
"SAN JOSE PINULA","1","GUATEMALA","2017","299452.5","173291.67","0","0","755225","0","492546.65","254325","74400","43204.75","3426273.85","0","4155264.85"
"SAN JOSE PINULA","1","GUATEMALA","2018","350500","114186","0","0","1826100.52","0","589450.01","1499949.32","74400","55377.08","3786124.68","0","4641022.73"
"SAN JOSE PINULA","1","GUATEMALA","2019","89475.99","66000","0","0","4625177.44","0","594993.31","3858384.83","74400","5338776.15","4421975.45","0","5693028.28"
"SAN JOSE DEL GOLFO","1","GUATEMALA","2016","3297411.6","1504739.7","0","0","894083.67","0","0","453578","450000","0","924054.46","1050899.47","1039407.71"
"SAN JOSE DEL GOLFO","1","GUATEMALA","2017","1499678.9","2980138.09","0","0","1087832.12","14750","0","884168.23","121390","154539.99","1003170","1194377.91","1769362.25"
"SAN JOSE DEL GOLFO","1","GUATEMALA","2018","3532596.68","725369.84","891417","0","780353.15","0","816.86","898450","658238.94","395000","2885309.65","1179910.63","400000"
"SAN JOSE DEL GOLFO","1","GUATEMALA","2019","883149.17","1783242.42","0","0","3274607.79","0","0","1185720.66","881633.55","163200","964306.85","1536900.23","1821350"
"PALENCIA","1","GUATEMALA","2016","3103613.26","818069.1","154027.16","295135.6","289172.81","42750","0","1356838.24","163199.79","78500","814906.57","0","856632.69"
"PALENCIA","1","GUATEMALA","2017","156710","1206065","283810.68","329072.9","1391504.82","0","0","96083.4","296444.93","88378.78","1086654.64","0","1281312.55"
"PALENCIA","1","GUATEMALA","2018","218500","1159924","314390.4","267005.93","875000","0","0","63919.75","244956.53","834467","854422.18","0","2452832.71"
"PALENCIA","1","GUATEMALA","2019","403860","366870","212991.51","306157.67","2497222.29","1045","0","102459.22","184749.86","55042.48","461242.55","0","1977893"
"CHINAUTLA","1","GUATEMALA","2016","403872.8","600050","824700","0","3353855","0","458139.63","1236410.97","976100","245046.3","1080500","0","2878648.33"
"CHINAUTLA","1","GUATEMALA","2017","657600","7131445.49","35300","0","3490657.5","0","776106.17","2307535.25","0","263028.25","798011.02","0","4321242.98"
"CHINAUTLA","1","GUATEMALA","2018","463174.6","2285000","53690","0","3667981.5","0","901859.61","3457720","0","341140.8","850000","0","7437243.27"
